Row Labels,Count of church,Address,Change to:,Flag
"173 Airbase Bd, Vietnam",1,,,
"19th Support Command, San Francisco",1,,,
"Advanced Studies, California",1,,,
"American College, Louvain",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",
"American College, Louvain Belgium",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",
"Annunciation, Bellmawr",2,"601 W Browning Rd, Bellmawr, NJ 08031",,
"APO, NY",1,,,
"Archbishop Theodore McCarrick has been included on the list based on the findings of the Archdiocese of New York that allegations of abuse of a minor against then Father McCarrick were credible and substantiated.,",1,,,FLAG
"Archdiocesan Director CYO,",1,,,
Army Chaplain,1,,,
"Assumption, Atco",6,"318 Carl Hasselhan Dr, Atco, NJ 08004",,
"Assumption, Emerson",3,"29 Jefferson Ave, Emerson, NJ 07630",,
"Assumption, Jersey City",1,,,FLAG -- not sure if it's the same as 'Assumption and All Saints'
"Assumption, Pomona",2,"146 S Pitney Rd, Galloway, NJ 08205","Assumption, Pomona, Galloway",
"Assumption, Roselle Park",3,"113 Chiego Pl, Roselle Park, NJ 07204",,
"Assumption, Wildwood Crest",3,"7100 Seaview Ave, Wildwood Crest, NJ 08260",,
"Bishop Eustace Preparatory School, Cherry Hill",1,"5552 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",
"Bishop Eustace Queen of Apostles Field, NJ",1,"5553 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",
Blessed Sacrament,1,,,FLAG -- no specific location
"Blessed Sacrament, East Orange",1,,,FLAG -- not sure if it's the same as Our Lady of the Most Blessed Sacrament
"Blessed Sacrament, Elizabeth",1,"1096 North Ave, Elizabeth, NJ 07201",,
"Blessed Sacrament, Margate",4,"11 N Kenyon Ave, Margate City, NJ 08402",,
"Blessed Sacrament/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108",,
"Blessed Sacrement, Margate",1,"11 N Kenyon Ave, Margate City, NJ 08402","Blessed Sacrament, Margate",
"Blessed Sacrement/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108","Blessed Sacrament/St. Charles Borromeo, Newark",
"Blessed Teresa of Calcutta, Collingswood",1,"809 Park Ave, Collingswood, NJ 08108",,
"Boystown, Kearny",1,"499 Belgrove Dr, Kearny, NJ 07032",,
"Camden Catholic High School, Camden",2,"300 Cuthbert Blvd, Cherry Hill, NJ 08002","Camden Catholic High School, Cherry Hill",
"Camden Catholic High School, Cherry Hill",8,"300 Cuthbert Blvd, Cherry Hill, NJ 08002",,
