Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"173 Airbase Bd, Vietnam",1,,"173 Airbase Bd, Vietnam",14.058324,108.277199,
"19th Support Command, San Francisco",1,,"19th Support Command, San Francisco",37.7749295,-122.4194155,
"Advanced Studies, California",1,,"Advanced Studies, California",34.024551,-118.503352,
"American College, Louvain",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",50.8729506,4.699715,
"American College, Louvain Belgium",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",50.8729506,4.699715,
"Annunciation, Bellmawr",2,"601 W Browning Rd, Bellmawr, NJ 08031","Annunciation, Bellmawr",39.874284,-75.1045423,
"APO, NY",1,,"APO, NY",,,FLAG
"Archbishop Theodore McCarrick has been included on the list based on the findings of the Archdiocese of New York that allegations of abuse of a minor against then Father McCarrick were credible and substantiated.,",1,,"Archbishop Theodore McCarrick has been included on the list based on the findings of the Archdiocese of New York that allegations of abuse of a minor against then Father McCarrick were credible and substantiated.,",40.7575432,-73.9640057,FLAG
"Archdiocesan Director CYO,",1,,"Archdiocesan Director CYO,",29.4547012,-98.5468553,
Army Chaplain,1,,Army Chaplain,34.0183853,-80.9248262,
"Assumption, Atco",6,"318 Carl Hasselhan Dr, Atco, NJ 08004","Assumption, Atco",39.7692017,-74.8939668,
"Assumption, Emerson",3,"29 Jefferson Ave, Emerson, NJ 07630","Assumption, Emerson",40.9765685,-74.0251466,
"Assumption, Jersey City",1,,"Assumption, Jersey City",40.714125,-74.072174,FLAG -- not sure if it's the same as 'Assumption and All Saints'
"Assumption, Pomona",2,"146 S Pitney Rd, Galloway, NJ 08205","Assumption, Pomona, Galloway",39.474288,-74.488852,
"Assumption, Roselle Park",3,"113 Chiego Pl, Roselle Park, NJ 07204","Assumption, Roselle Park",40.6607149,-74.2745558,
"Assumption, Wildwood Crest",3,"7100 Seaview Ave, Wildwood Crest, NJ 08260","Assumption, Wildwood Crest",38.9708088,-74.8366302,
"Bishop Eustace Preparatory School, Cherry Hill",1,"5552 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",39.930527,-75.064389,
"Bishop Eustace Queen of Apostles Field, NJ",1,"5553 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",39.930527,-75.064389,
Blessed Sacrament,1,,Blessed Sacrament,37.6866366,-97.2918155,FLAG -- no specific location
"Blessed Sacrament, East Orange",1,,"Blessed Sacrament, East Orange",40.7430096,-74.1988189,FLAG -- not sure if it's the same as Our Lady of the Most Blessed Sacrament
"Blessed Sacrament, Elizabeth",1,"1096 North Ave, Elizabeth, NJ 07201","Blessed Sacrament, Elizabeth",40.6794019,-74.2031893,
"Blessed Sacrament, Margate",4,"11 N Kenyon Ave, Margate City, NJ 08402","Blessed Sacrament, Margate",39.3278928,-74.5038706,
"Blessed Sacrament/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108","Blessed Sacrament/St. Charles Borromeo, Newark",40.7225441,-74.206128,
"Blessed Sacrement, Margate",1,"11 N Kenyon Ave, Margate City, NJ 08402","Blessed Sacrament, Margate",39.3278928,-74.5038706,
"Blessed Sacrement/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108","Blessed Sacrament/St. Charles Borromeo, Newark",40.7225441,-74.206128,
