officerid,count,name,dept
ScottMSendrickAtlanticCity,62,Scott M Sendrick,"Atlantic City, Atlantic County"
JamesDayVineland,59,James Day,"Vineland, Cumberland County"
JosephDixonMillville,58,Joseph Dixon,"Millville, Cumberland County"
RyanPDuffyPaterson,56,Ryan P Duffy,"Paterson, Passaic County"
BrandonGallozaCamden,51,Brandon Galloza,"Camden, Camden County"
MichaelOldroydAtlanticCity,49,Michael Oldroyd,"Atlantic City, Atlantic County"
HuanMLeAtlanticCity,49,Huan Le,"Atlantic City, Atlantic County"
NicholasMaslanichVineland,47,Nicholas Maslanich,"Vineland, Cumberland County"
KamilJWarraichAsburyPark,46,Kamil Warraich,"Asbury Park, Monmouth County"
ILLEGIBLEILLEGIBLEFranklin,44,ILLEGIBLE ILLEGIBLE,"Franklin, Somerset County"
GeorgeLiasElizabeth,44,George Lias,"Elizabeth, Union County"
AvetteAHarperAtlanticCity,43,Avette Harper,"Atlantic City, Atlantic County"
LouisPlataniaVineland,43,Louis Platania,"Vineland, Cumberland County"
JoseSantiagoPerthAmboy,43,Jose M Santiago,"Perth Amboy, Middlesex County"
PeterMCalabreseAtlanticCity,42,Peter M Calabrese,"Atlantic City, Atlantic County"
TimothyDeLouiseVineland,42,Timothy DeLouise,"Vineland, Cumberland County"
EdwardO'DonnellLindenwold,41,Edward L O'Donnell,"Lindenwold, Camden County"
SheehanMilesTrenton,41,Sheehan Miles,"Trenton, Mercer County"
RafaelBengocheaPerthAmboy,41,Rafael Bengochea,"Perth Amboy, Middlesex County"
JosephOlivoCamden,40,Joseph Olivo,"Camden, Camden County"
RobertWBelliVoorhees,40,Robert W Belli,"Voorhees, Camden County"
JosephMD'AmbrosioTrenton,39,Joseph D'Ambrosio,"Trenton, Mercer County"
ChristopherFixlerVineland,39,Christopher W Fixler,"Vineland, Cumberland County"
JamesWJonesGlassboro,38,James Jones,"Glassboro, Gloucester County"
AnthonyAlosiAtlanticCity,38,Anthony Alosi,"Atlantic City, Atlantic County"
JeffreyProffitMillville,38,Jeffrey Proffit,"Millville, Cumberland County"
FrancoSydnorAtlanticCity,37,Franco R Sydnor,"Atlantic City, Atlantic County"
AdamMColferMiddletown,36,Adam M Colfer,"Middletown, Monmouth County"
ILLEGIBLEILLEGIBLENewark,36,ILLEGIBLE ILLEGIBLE,"Newark, Essex County"
MatthewLaielliVineland,36,Matthew Laielli,"Vineland, Cumberland County"
BrianArmstrongVineland,36,Brian Armstrong,"Vineland, Cumberland County"
SeanADeShaderAsburyPark,36,Sean DeShader,"Asbury Park, Monmouth County"
EdgardoEVegaLakewood,35,Edgardo Vega,"Lakewood, Ocean County"
RobertoCancelPassaic,35,Roberto Cancel,"Passaic, Passaic County"
JasonSikoraVineland,35,Jason Sikora,"Vineland, Cumberland County"
JamesRConatyHowell,35,James Conaty,"Howell, Monmouth County"
LouisWeberNewark,35,Louis Weber,"Newark, Essex County"
ColtGibsonMillville,34,Colt Gibson,"Millville, Cumberland County"
BrianColeVineland,34,Brian Cole,"Vineland, Cumberland County"
WilliamGMartinCamden,34,William Martin,"Camden, Camden County"
SpencerSmithWildwood,34,Spencer Smith,"Wildwood, Cape May County"
RalphMercedPassaic,34,Ralph Merced,"Passaic, Passaic County"
MatthewKGanzerNewBrunswick,34,Matthew K Ganzer,"New Brunswick, Middlesex County"
EdwardJShieldsElizabeth,33,Edward J Shields,"Elizabeth, Union County"
BrianHambrechtAtlanticCity,33,Brian Hambrecht,"Atlantic City, Atlantic County"
AdamShawVineland,33,Adam Shaw,"Vineland, Cumberland County"
LazaroPlaElizabeth,33,Lazaro Pla,"Elizabeth, Union County"
RobertDCirriWestNewYork,33,Robert D Cirri,"West New York, Hudson County"
TimothyRKohlmyerGloucester,33,Timothy R Kohlmyer,"Gloucester, Camden County"
AndrewFegleyCamden,33,Andrew Fegley,"Camden, Camden County"
AdamCWorthTomsRiver,33,Adam C Worth,"Toms River, Ocean County"
AlexanderBlancoElizabeth,33,Alexander Blanco,"Elizabeth, Union County"
GavinPhillipsMillville,33,Gavin Phillips,"Millville, Cumberland County"
FrancisJSangiAsburyPark,32,Francis Sangi,"Asbury Park, Monmouth County"
JohnJLeshkoRoselle,32,John J Leshko,"Roselle, Union County"
AnthonyPMassiGloucester,32,Anthony P Massi,"Gloucester, Camden County"
ZsakhiemRJamesCamden,32,Zsakhiem R James,"Camden, Camden County"
AlexanderGonzalezElizabeth,32,A Gonzalez,"Elizabeth, Union County"
JeffreyCruzElizabeth,32,J Cruz,"Elizabeth, Union County"
MichaelARizzoLinden,32,Michael A Rizzo,"Linden, Union County"
PaulMCraigLumberton,32,Paul M Craig,"Lumberton, Burlington County"
RyanMaddenVineland,32,Ryan Madden,"Vineland, Cumberland County"
DavidGDzibelaNorthPlainfield,31,David G Dzibela,"North Plainfield, Somerset County"
AndrewJJaquesAtlanticCity,31,Andrew J Jaques,"Atlantic City, Atlantic County"
BenjaminWLewittGloucester,31,Benjamin W Lewitt,"Gloucester, Camden County"
JesseOliver-LoganAtlanticCity,31,Jesse Oliver-Logan,"Atlantic City, Atlantic County"
MichaelAubleAtlanticCity,31,Michael Aubie,"Atlantic City, Atlantic County"
HerbertGonzalezElizabeth,31,Herbert Gonzalez,"Elizabeth, Union County"
EugeneLaielliAtlanticCity,31,Eugene Laielli,"Atlantic City, Atlantic County"
GarryStoweAtlanticCity,31,Garry Stowe,"Atlantic City, Atlantic County"
WalterPizaElizabeth,31,Walter Piza,"Elizabeth, Union County"
RafaelECamposPaterson,30,Rafael Campos,"Paterson, Passaic County"
AlexanderRodriguezCamden,30,Alexander Rodriguez,"Camden, Camden County"
DanielTEliasenGlassboro,30,Daniel T Eliasen,"Glassboro, Gloucester County"
ChristopherESiboleNeptuneTownship,30,Christopher Sibole,"Neptune Township, Monmouth County"
DarrinLoradyAtlanticCity,30,Darrin P Lorady,"Atlantic City, Atlantic County"
AnthonyPizzoLindenwold,29,Anthony J Pizzo,"Lindenwold, Camden County"
WilliamEllerGloucesterCity,29,William E Eller,"Gloucester City, Camden County"
GerardMoughanVineland,29,Gerard Moughan,"Vineland, Cumberland County"
NicholasJWhelanGlassboro,29,Nicholas J Whelan,"Glassboro, Gloucester County"
DavisSalazarPerthAmboy,29,Davis Salazar,"Perth Amboy, Middlesex County"
ManuelGonzalezPaterson,29,Manuel Gonzalez,"Paterson, Passaic County"
KeithMHendersonCamden,29,Keith Henderson,"Camden, Camden County"
LeonardCastielloGloucester,29,Leonard Castiello,"Gloucester, Camden County"
