key,value
"Camden, Camden County",3183
"Atlantic City, Atlantic County",2854
"Newark, Essex County",2568
"Paterson, Passaic County",1869
"Elizabeth, Union County",1674
"Vineland, Cumberland County",1639
"NJSP, State Police",1442
"Toms River, Ocean County",1161
"Trenton, Mercer County",1147
"Jersey City, Hudson County",1082
"Gloucester, Camden County",889
"Perth Amboy, Middlesex County",873
"Lakewood, Ocean County",798
"Bayonne, Hudson County",764
"New Brunswick, Middlesex County",746
"Hamilton, Mercer County",742
"Asbury Park, Monmouth County",725
"Glassboro, Gloucester County",710
"East Orange, Essex County",702
"Irvington, Essex County",676
"Millville, Cumberland County",665
"Neptune Township, Monmouth County",658
"Long Branch, Monmouth County",611
"Woodbridge, Middlesex County",607
"Passaic, Passaic County",602
"Clifton, Passaic County",596
"Hoboken, Hudson County",568
"West New York, Hudson County",560
"Edison, Middlesex County",559
"Union township, Union County",539
"Evesham, Burlington County",531
"Bridgeton City, Cumberland County",476
"Egg Harbor Township, Atlantic County",472
"Howell, Monmouth County",462
"Bloomfield, Essex County",457
"Wildwood, Cape May County",456
"Brick, Ocean County",429
"Belleville, Essex County",419
"Cherry Hill, Camden County",405
"Lindenwold, Camden County",387
"Lawrence, Mercer County",386
"Middletown, Monmouth County",381
"Jackson, Ocean County",376
"Roselle, Union County",369
"Linden, Union County",367
"Point Pleasant Beach, Ocean County",366
"Winslow, Camden County",364
"Union City, Hudson County",360
"Manchester, Ocean County",359
"Maplewood, Essex County",337
"Hackensack, Bergen County",319
"Galloway, Atlantic County",319
"Teaneck, Bergen County",319
"Voorhees, Camden County",316
"Seaside Heights, Ocean County",307
"Deptford, Gloucester County",305
"Red Bank, Monmouth County",305
"Washington, Gloucester County",301
"Pleasantville, Atlantic County",287
"Orange, Essex County",286
"Pemberton, Burlington County",285
"Fort Lee, Bergen County",280
"Pennsauken, Camden County",273
"Paramus, Bergen County",271
"North Plainfield, Somerset County",270
"Mount Holly, Burlington County",267
"Carteret, Middlesex County",256
"Ewing, Mercer County",255
"Cliffside Park, Bergen County",255
"Somerville, Somerset County",252
"Nutley, Essex County",249
"East Brunswick, Middlesex County",246
"Monroe, Gloucester County",244
"Bridgewater, Somerset County",241
"Garfield, Bergen County",231
"Willing Boro, Burlington County",228
"Hamilton, Atlantic County",224
"Plainfield, Union County",222
"Dover, Morris County",221
"Little Egg Harbor, Ocean County",219
"North Bergen, Hudson County",215
"North Wildwood, Cape May County",214
"Secaucus, Hudson County",212
"Gloucester City, Camden County",211
"Franklin, Somerset County",211
"Lacey, Ocean County",204
"West Orange, Essex County",199
"South River, Middlesex County",198
"Sayreville, Middlesex County",191
"Ocean Township, Monmouth County",186
"Morristown, Morris County",185
"Hopatcong, Sussex County",182
"North Brunswick, Middlesex County",180
"Eatontown, Monmouth County",180
"Pine Hill, Camden County",179
"Middle, Cape May County",173
"Maple Shade, Burlington County",173
"East Windsor, Mercer County",172
"Berkeley, Ocean County",171
"Wall, Monmouth County",170
"Burlington City, Burlington County",165
"Mount Laurel, Burlington County",165
"West Deptford, Gloucester County",163
"Montclair, Essex County",163
"Kearny, Hudson County",159
"Belmar, Monmouth County",158
"Parsippany, Morris County",158
"Ocean City, Cape May County",154
"Hillsborough, Somerset County",152
"Aberdeen, Monmouth County",151
"Hillside, Union County",149
"Pennsville, Salem County",148
"Bound Brook, Somerset County",144
"Stafford, Ocean County",141
"Cranford, Union County",138
"Roxbury, Morris County",136
"Tinton Falls, Monmouth County",135
"South Plainfield, Middlesex County",134
"Barnegat, Ocean County",133
"Ridgewood, Bergen County",133
"Paulsboro, Gloucester County",129
"Salem City, Salem County",129
"Plainsboro, Middlesex County",128
"Woodbury, Gloucester County",128
"Elmwood Park, Bergen County",127
"South Brunswick, Middlesex County",126
"Mount Olive, Morris County",124
"Lyndhurst, Bergen County",124
"Sea Isle City, Cape May County",124
"Haledon, Passaic County",123
"Rahway, Union County",122
"Ramsey, Bergen County",122
"Fairfield, Essex County",120
"Hammonton, Atlantic County",119
"Wayne, Passaic County",118
"Marlboro, Monmouth County",117
"Clark, Union County",114
"Pompton Lakes, Passaic County",113
"Edgewater, Bergen County",113
"Riverside, Burlington County",112
"Manalapan, Monmouth County",112
"Hopewell twp, Mercer County",110
"Point Pleasant, Ocean County",110
"Hazlet, Monmouth County",109
"Bordentown Town, Burlington County",108
"Ridgefield Park, Bergen County",107
"Dunellen, Middlesex County",107
"Roselle Park, Union County",106
"Madison, Morris County",105
"Manasquan, Monmouth County",105
"South Orange, Essex County",104
"Freehold Boro, Monmouth County",104
"Mantua, Gloucester County",103
"Randolph, Morris County",103
"Harrison, Hudson County",102
"Monroe, Middlesex County",102
"Washington Township, Warren County",101
"Englewood, Bergen County",100
