year,county,town,incidentDate,incidentTime,city,officerName,officerid,location,type,officerSex,officerRace,townCounty
2016,Mercer County,Trenton,2/13/16,0:20,,Aaron Bernstein,AaronJBernsteinTrenton,273 Morris Ave,Crime In Progress,Male,WHITE,"Trenton, Mercer County"
2014,Mercer County,Trenton,3/26/14,0:46,,Aaron Bernstein,AaronJBernsteinTrenton,1100 Edgewood Ave,Other Dispute,Male,WHITE,"Trenton, Mercer County"
2016,Mercer County,Trenton,3/12/16,1:13,,Aaron Bernstein,AaronJBernsteinTrenton,20 Carroll St,Suspicious Person,Male,WHITE,"Trenton, Mercer County"
2014,Mercer County,Trenton,5/16/14,5:25,,Aaron Bernstein,AaronJBernsteinTrenton,131 Spring St,Domestic,Male,WHITE,"Trenton, Mercer County"
2016,Mercer County,Trenton,4/25/16,0:12,,Aaron Bernstein,AaronJBernsteinTrenton,1010 Hamilton Ave,Domestic,Male,WHITE,"Trenton, Mercer County"
2015,Mercer County,Trenton,4/24/15,0:50,,Aaron Bernstein,AaronJBernsteinTrenton,931 New York Ave,Crime In Progress,Male,WHITE,"Trenton, Mercer County"
2015,Mercer County,Trenton,5/27/15,5:00,,Aaron Bernstein,AaronJBernsteinTrenton,140 Fountain Ave,Suspicious Person,Male,WHITE,"Trenton, Mercer County"
2016,Mercer County,Trenton,8/14/16,BLANK,,Aaron Bernstein,AaronJBernsteinTrenton,ILLEGIBLE,Other Dispute,Male,WHITE,"Trenton, Mercer County"
2013,Mercer County,Trenton,2/14/13,6:55,,Aaron Bernstein,AaronJBernsteinTrenton,604 Edgewood Ave,Domestic,Male,WHITE,"Trenton, Mercer County"
2012,Mercer County,Trenton,11/15/12,19:54,,Aaron Bernstein,AaronJBernsteinTrenton,166 Oakland St,Crime In Progress,Male,BLACK,"Trenton, Mercer County"
2012,Mercer County,Trenton,9/22/12,20:00,,Aaron Bernstein,AaronJBernsteinTrenton,1316 N Olden Ave,Traffic Stop,Male,WHITE,"Trenton, Mercer County"
2014,Monmouth County,Neptune Township,1/11/14,2:21,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"Whitesville Rd/ Asbury Ave, NJ 07753",Other Type Of Call: Warrant Arrest,Not listed,,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,2/1/14,3:15,,Aaron F Lay,AaronFLayNeptuneTownship,Benson Ave/ Main Ave,Traffic Violation,Not listed,,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,2/15/14,4:22,,Aaron F Lay,AaronFLayNeptuneTownship,SH 66/ Monmouth Motel,Traffic Violation,Not listed,,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,2/19/14,22:21,,Aaron Lay,AaronFLayNeptuneTownship,710 Berkley Lane,Other Dispute,Not listed,,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,1/1/15,1:54,,Aaron F Lay,AaronFLayNeptuneTownship,1401 SH 35 (Headliner),Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,1/1/15,2:10,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"Headliner - 1401 SR 35 S, NJ",Other Dispute,Male,WHITE,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,6/6/14,1:47,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"41 S Main St, Clancy's Tavern, NJ 07753",Other Dispute,Not listed,,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,1/3/15,1:10,Ocean Grove,Aaron F Lay,AaronFLayNeptuneTownship,"20 Surf Ave, NJ",Domestic,Male,WHITE,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,4/25/14,2:29,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"41 S Main St, Clancy's Tavern, NJ 07753",Other Dispute,Not listed,,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,5/3/14,2:23,,Aaron F Lay,AaronFLayNeptuneTownship,W Lake/ Myrtle Aves,Crime In Progress,Not listed,,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,3/20/15,9:24,,Aaron F Lay,AaronFLayNeptuneTownship,250 Myrtle Ave,Domestic,Male,WHITE,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,3/23/15,10:26,,Aaron F Lay,AaronFLayNeptuneTownship,"1945 SR 33, JSUMC",Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2016,Monmouth County,Neptune Township,8/18/16,17:30,,Aaron F Lay,AaronFLayNeptuneTownship,NTPD Headquarters,Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2016,Monmouth County,Neptune Township,8/28/16,3:05,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"Headliner - 1401 S SR 35, NJ",Other Dispute,Male,WHITE,"Neptune Township, Monmouth County"
2016,Monmouth County,Neptune Township,1/31/16,12:25,,Aaron F Lay,AaronFLayNeptuneTownship,"1344 Corlies Ave, Wawa",Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,7/9/14,22:26,Neptune,Aaron F Lay,AaronFLayNeptuneTownship,"1207 7th Ave, NJ 07753","Other Dispute, Other: Assault/Projecting Bodily Fluids/Disorderly Conduct/Resisting Arrest",Male,WHITE,"Neptune Township, Monmouth County"
