location,lat,lng,value
"Camden, Camden County",39.9259463,-75.1196199,3221
"Atlantic City, Atlantic County",39.3642834,-74.4229266,2867
"Newark, Essex County",40.735657,-74.1723667,2580
"Paterson, Passaic County",40.9167654,-74.171811,1873
"Elizabeth, Union County",40.6639916,-74.2107006,1674
"Vineland, Cumberland County",39.4863773,-75.0259637,1639
"NJSP, State Police",39.955934,-74.9197354,1447
"Toms River, Ocean County",39.9537358,-74.1979458,1161
"Trenton, Mercer County",40.2205824,-74.759717,1149
"Jersey City, Hudson County",40.7177545,-74.0431435,1091
"Gloucester, Camden County",39.7933809,-75.0494329,895
"Perth Amboy, Middlesex County",40.5067723,-74.2654234,875
"Lakewood, Ocean County",40.082129,-74.2097014,800
"Bayonne, Hudson County",40.6687141,-74.1143091,769
"New Brunswick, Middlesex County",40.4862157,-74.4518188,747
"Hamilton, Mercer County",40.2115109,-74.6796651,744
"Asbury Park, Monmouth County",40.2203907,-74.0120817,725
"Glassboro, Gloucester County",39.7028923,-75.1118422,710
"East Orange, Essex County",40.767323,-74.2048677,702
"Irvington, Essex County",40.7263249,-74.2286435,681
"Millville, Cumberland County",39.4020596,-75.0393438,670
"Neptune Township, Monmouth County",40.2091219,-74.0386271,660
"Woodbridge, Middlesex County",40.5575986,-74.2846022,612
"Long Branch, Monmouth County",40.3042778,-73.9923596,612
"Passaic, Passaic County",40.8567662,-74.1284764,603
"Clifton, Passaic County",40.8584328,-74.1637553,598
"Hoboken, Hudson County",40.7439905,-74.0323626,569
"West New York, Hudson County",40.7878788,-74.0143064,560
"Edison, Middlesex County",40.5187154,-74.4120953,559
"Union township, Union County",40.6975898,-74.2631635,539
"Evesham, Burlington County",39.8522951,-74.8857989,531
"Bridgeton City, Cumberland County",39.427337,-75.2340768,477
"Egg Harbor Township, Atlantic County",39.3822537,-74.6166192,472
"Howell, Monmouth County",40.1645785,-74.2082671,467
"Wildwood, Cape May County",38.9917797,-74.8148894,457
"Bloomfield, Essex County",40.8067546,-74.1854209,457
"Brick, Ocean County",40.0578384,-74.1371832,430
"Belleville, Essex County",40.7936744,-74.1500469,419
"Cherry Hill, Camden County",39.926813,-75.0246312,405
"Lawrence, Mercer County",40.2778055,-74.7294313,390
"Lindenwold, Camden County",39.8201681,-74.9851678,387
"Middletown, Monmouth County",40.3968012,-74.0915982,381
"Jackson, Ocean County",40.0918895,-74.3587473,376
"Roselle, Union County",40.6527292,-74.2592769,372
"Linden, Union County",40.6220478,-74.2445902,369
"Winslow, Camden County",39.6573556,-74.8623203,367
"Point Pleasant Beach, Ocean County",40.0912268,-74.0479146,366
"Manchester, Ocean County",39.9711696,-74.3392821,360
"Union City, Hudson County",40.7795455,-74.0237512,360
"Maplewood, Essex County",40.7299793,-74.271992,337
"Hackensack, Bergen County",40.8859325,-74.0434736,323
"Teaneck, Bergen County",40.8932469,-74.0116536,322
"Galloway, Atlantic County",39.4928235,-74.5596879,319
"Voorhees, Camden County",39.8519447,-74.961517,316
"Seaside Heights, Ocean County",39.944285,-74.0729139,308
"Deptford, Gloucester County",39.8227054,-75.1195107,306
"Red Bank, Monmouth County",40.3470543,-74.0643065,305
"Washington, Gloucester County",39.7561387,-75.0727956,301
"Pleasantville, Atlantic County",39.3898388,-74.5240422,288
"Orange, Essex County",40.7706187,-74.2326478,286
"Pemberton, Burlington County",39.9720578,-74.6829363,285
